"project","plot","subplot","survey","tree.date","family","species","pft","wsg","wsg.sd","tree","stem","x","y","z","status","allom.key","a.stem","h.t","h.t.mod","d.stem","d.stem.valid","d.ht","c.w","m.agb"
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Pomaderris apetala","EA",0.721825967529722,0.127323994743174,"7488","1",479318.414341614,5227762.32798437,NA,1,19,0.0188691908756237,NA,15.2385453040474,0.155,1,1.3,NA,51.2662294410346
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Pomaderris apetala","EA",0.721825967529722,0.127323994743174,"7489","1",479318.419465708,5227761.4794717,NA,1,19,0.0179078635236252,NA,14.7905161418985,0.151,1,1.3,NA,48.0174486563846
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Eucalyptus obliqua","EA",0.830092581326441,0.0941339098036177,"7491","1",479323.223434068,5227762.21560212,NA,1,19,0.136572101235019,NA,39.5862144904764,0.417,1,1.3,NA,611.02852664013
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Nematolepis squamea","EA",0.721825967529722,0.127323994743174,"7492","1",479324.306706314,5227758.47440963,NA,1,19,0.0193592793295837,NA,15.4622688825958,0.157,1,1.3,NA,52.9387319399851
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Nematolepis squamea","EA",0.721825967529722,0.127323994743174,"7493","1",479326.085970246,5227756.57593133,NA,0,19,0.0235061816323222,NA,17.2429588990459,0.173,1,1.3,NA,67.5006953809452
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Pomaderris apetala","EA",0.721825967529722,0.127323994743174,"7494","1",479326.084262214,5227756.85876889,NA,1,19,0.00817128249198705,NA,9.29873810876126,0.102,1,1.3,NA,17.9794182226997
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Pomaderris apetala","EA",0.721825967529722,0.127323994743174,"7495","1",479322.995253514,5227753.16309232,NA,1,19,0.00950331777710912,NA,10.1886515743531,0.11,1,1.3,NA,21.7214137578333
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Pomaderris apetala","EA",0.721825967529722,0.127323994743174,"7496","1",479316.84908779,5227752.20672059,NA,1,19,0.0132732289614169,NA,12.4310167363931,0.13,1,1.3,NA,33.0031169845645
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Pomaderris apetala","EA",0.721825967529722,0.127323994743174,"7498","1",479319.381815552,5227754.34337453,NA,0,19,0.0132732289614169,NA,12.4310167363931,0.13,1,1.3,NA,33.0031169845645
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Pomaderris apetala","EA",0.721825967529722,0.127323994743174,"7499","1",479320.008378871,5227755.97353355,NA,1,19,0.0176714586764426,NA,14.6784000985565,0.15,1,1.3,NA,47.2251468781181
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Nematolepis squamea","EA",0.721825967529722,0.127323994743174,"7500","1",479318.232531003,5227757.30633674,NA,1,19,0.0301718558450764,NA,19.7635915490961,0.196,1,1.3,NA,92.2677663793881
