"project","date","survey","region","l.project","l.instr","l.date","l.region","l.path","l.epsg"
"costarica_chazdon","2008-01-01","2008","SA",NA,NA,NA,NA,NA,NA
"costarica_chazdon","2009-01-01","2009","SA","nasa_laselva_2009",NA,NA,"centralamerica","/gpfs/data1/vclgp/data/gedi/incoming/centralamerica/nasa_laselva/ALS_2009","32616"
"costarica_chazdon","2010-01-01","2010","SA",NA,NA,NA,NA,NA,NA
"costarica_chazdon","2011-01-01","2011","SA",NA,NA,NA,NA,NA,NA
"costarica_chazdon","2012-01-01","2012","SA",NA,NA,NA,NA,NA,NA
"costarica_chazdon","2013-01-01","2013","SA",NA,NA,NA,NA,NA,NA
"costarica_laselva","1997-01-01","1997","SA","nasa_laselva_1997",NA,NA,"centralamerica","/gpfs/data1/vclgp/data/gedi/incoming/centralamerica/nasa_laselva/flimap","32616"
"costarica_laselva","1998-01-01","1998","SA",NA,NA,NA,NA,NA,NA
"costarica_laselva","1999-01-01","1999","SA",NA,NA,NA,NA,NA,NA
"costarica_laselva","2000-01-01","2000","SA",NA,NA,NA,NA,NA,NA
"costarica_laselva","2001-01-01","2001","SA",NA,NA,NA,NA,NA,NA
"costarica_laselva","2002-01-01","2002","SA",NA,NA,NA,NA,NA,NA
"costarica_laselva","2003-01-01","2003","SA",NA,NA,NA,NA,NA,NA
"costarica_laselva","2004-01-01","2004","SA",NA,NA,NA,NA,NA,NA
"costarica_laselva","2005-01-01","2005","SA",NA,NA,NA,NA,NA,NA
"costarica_laselva","2006-01-01","2006","SA","nasa_laselva",NA,NA,"centralamerica","/gpfs/data1/vclgp/data/gedi/incoming/centralamerica/nasa_laselva/ALS","32616"
"costarica_laselva","2007-01-01","2007","SA",NA,NA,NA,NA,NA,NA
"costarica_laselva","2008-01-01","2008","SA",NA,NA,NA,NA,NA,NA
"costarica_laselva","2009-01-01","2009","SA","nasa_laselva_2009",NA,NA,"centralamerica","/gpfs/data1/vclgp/data/gedi/incoming/centralamerica/nasa_laselva/ALS_2009","32616"
"drc_bastin_malebo","2011-04-01","Malebo","Af","jpl_wwf_germany_drc",NA,NA,"africa","/gpfs/data1/vclgp/data/gedi/incoming/africa/jpl_wwf_germany_drc/tmp","32633"
"drc_kearsley","2012-01-01","2012","Af","drc_ghent_field",NA,NA,"africa","/gpfs/data1/vclgp/data/gedi/incoming/africa/drc_ghent_field/las","32634"
"england_newforest","2010-06-09","2010","Eu","hill_newforest",NA,NA,"europe","/gpfs/data1/vclgp/data/gedi/incoming/europe/hill_newforest/ALS","27700"
"england_newforest","2012-05-21","2012","Eu","hill_newforest",NA,NA,"europe","/gpfs/data1/vclgp/data/gedi/incoming/europe/hill_newforest/ALS","27700"
"estonia_rami","2007-07-01","2007","Eu","rami_jarvselja",NA,NA,"europe","/gpfs/data1/vclgp/data/gedi/incoming/europe/rami_jarvselja/ALS","3301"
"frenchguiana_chave","2010-12-31","2010","SA","chave_nourages","Riegl LMS-Q560","2012","southamerica","/gpfs/data1/vclgp/data/gedi/incoming/southamerica/chave_nourages/ALS","32622"
"frenchguiana_chave","2012-12-31","2012","SA","chave_nourages","Riegl LMS-Q560","2012","southamerica","/gpfs/data1/vclgp/data/gedi/incoming/southamerica/chave_nourages/ALS","32622"
"frenchguiana_chave","2009-12-31","2009","SA","chave_paracou","Riegl LMS-280i","2009","southamerica","/gpfs/data1/vclgp/data/gedi/incoming/southamerica/chave_paracou/ALS","32622"
"frenchguiana_chave","2010-12-31","2010","SA","chave_paracou","Riegl LMS-280i","2009","southamerica","/gpfs/data1/vclgp/data/gedi/incoming/southamerica/chave_paracou/ALS","32622"
"gabon_ird","2014-06-01","2014","Af",NA,NA,NA,NA,NA,NA
"gabon_ird","2012-05-01","2012","Af",NA,NA,NA,NA,NA,NA
"gabon_lope","2016-04-10","AfriSAR_ESA_2016","Af","jpl_lope",NA,NA,"africa","/gpfs/data1/vclgp/data/gedi/incoming/africa/jpl_lope/ALS_new","32732"
"gabon_lope2","1/1/2009","1","Af","jpl_lope",NA,NA,"africa","/gpfs/data1/vclgp/data/gedi/incoming/africa/jpl_lope/ALS_new","32732"
"gabon_mondah","2016-02-01","AfriSAR_ESA_2016","Af","jpl_mondah",NA,NA,"africa","/gpfs/data1/vclgp/data/gedi/incoming/africa/jpl_mondah/ALS","32632"
"gabon_rabi","6/1/2010","2010","Af","jpl_rabi",NA,NA,"africa","/gpfs/data1/vclgp/data/gedi/incoming/africa/jpl_rabi/ALS","32732"
"germany_kljun_tharandt","2010-06-28","2010","Eu","kljun_tharandt",NA,NA,"europe","/gpfs/data1/vclgp/data/gedi/incoming/europe/kljun_tharandt/ALS","32633"
"germany_traunstein","1/1/2016","1","Eu","huuth_traunstein",NA,NA,"europe","/gpfs/data1/vclgp/data/gedi/incoming/europe/huuth_traunstein/ALS","32633"
"indonesia_walker","1/1/2013","1","SEAsia","whrc_indonesia_walker",NA,NA,"seasia","/gpfs/data1/vclgp/data/gedi/incoming/seasia/whrc_indonesia_walker/als","32650"
"italy_sella","2008-07-31","2008","Eu","italy_sella","Opteck ALTM3100","2008","europe","/gpfs/data1/vclgp/data/gedi/incoming/europe/italy_sella/ALS","32632"
"italy_trentino","2014-06-01","2014","Eu","dalponte_trentino",NA,"2012","europe","/gpfs/data1/vclgp/data/gedi/incoming/europe/dalponte_trentino/LAS","32632"
"italy_trentino","2007-07-01","2007","Eu","dalponte_trentino",NA,"2007","europe","/gpfs/data1/vclgp/data/gedi/incoming/europe/dalponte_trentino/LAS","32632"
"italy_trentino","2012-08-01","2012","Eu","dalponte_trentino",NA,"2011","europe","/gpfs/data1/vclgp/data/gedi/incoming/europe/dalponte_trentino/LAS","32632"
"japan_nagano","1/1/2006","2005","As","nagano_japan",NA,"10/30/2008","asia","/gpfs/data1/vclgp/data/gedi/incoming/asia/nagano_japan/ALS_Leica_2008","2450"
"malaysia_boyd","2016-08-24","2016","SEAs","boyd_danum","Leica ALS50-II","2014","seasia","/gpfs/data1/vclgp/data/gedi/incoming/seasia/boyd_danum/las1.2","32650"
"malaysia_boyd","2017-07-07","2017","SEAs","boyd_danum","Leica ALS50-II","2014","seasia","/gpfs/data1/vclgp/data/gedi/incoming/seasia/boyd_danum/las1.2","32650"
"malaysia_danumcoomes","2014-09-14","2011","SEAsia","malaysia_davidcoomes",NA,NA,"seasia","/gpfs/data1/vclgp/data/gedi/incoming/seasia/malaysia_davidcoomes/ALS/MA14_11-306-lidar-20150702/flightlines/discrete_laser/las1.2","32650"
"mexico_nfi","2004-11-04","2004","SA","gliht_mexico_nfi_32612",NA,NA,"centralamerica","/gpfs/data1/vclgp/data/gedi/incoming/centralamerica/gliht_mexico_nfi/G-LiHT_las/als_epsg_32612","32612"
"mexico_nfi","2009-06-11","2009","SA","gliht_mexico_nfi_32612",NA,NA,"centralamerica","/gpfs/data1/vclgp/data/gedi/incoming/centralamerica/gliht_mexico_nfi/G-LiHT_las/als_epsg_32612","32612"
"mexico_nfi","2005-05-01","2005","SA","gliht_mexico_nfi_32612",NA,NA,"centralamerica","/gpfs/data1/vclgp/data/gedi/incoming/centralamerica/gliht_mexico_nfi/G-LiHT_las/als_epsg_32612","32612"
"mexico_nfi","2011-04-17","2011","SA","gliht_mexico_nfi_32612",NA,NA,"centralamerica","/gpfs/data1/vclgp/data/gedi/incoming/centralamerica/gliht_mexico_nfi/G-LiHT_las/als_epsg_32612","32612"
"mexico_nfi","2007-09-14","2007","SA","gliht_mexico_nfi_32612",NA,NA,"centralamerica","/gpfs/data1/vclgp/data/gedi/incoming/centralamerica/gliht_mexico_nfi/G-LiHT_las/als_epsg_32612","32612"
"mexico_nfi","2010-06-16","2010","SA","gliht_mexico_nfi_32612",NA,NA,"centralamerica","/gpfs/data1/vclgp/data/gedi/incoming/centralamerica/gliht_mexico_nfi/G-LiHT_las/als_epsg_32612","32612"
"mexico_nfi","2006-05-28","2006","SA","gliht_mexico_nfi_32612",NA,NA,"centralamerica","/gpfs/data1/vclgp/data/gedi/incoming/centralamerica/gliht_mexico_nfi/G-LiHT_las/als_epsg_32612","32612"
"mexico_nfi","2005-06-07","2005","SA","gliht_mexico_nfi_32613",NA,NA,"centralamerica","/gpfs/data1/vclgp/data/gedi/incoming/centralamerica/gliht_mexico_nfi/G-LiHT_las/als_epsg_32613","32613"
"mexico_nfi","2010-07-05","2010","SA","gliht_mexico_nfi_32613",NA,NA,"centralamerica","/gpfs/data1/vclgp/data/gedi/incoming/centralamerica/gliht_mexico_nfi/G-LiHT_las/als_epsg_32613","32613"
"mexico_nfi","2007-04-23","2007","SA","gliht_mexico_nfi_32613",NA,NA,"centralamerica","/gpfs/data1/vclgp/data/gedi/incoming/centralamerica/gliht_mexico_nfi/G-LiHT_las/als_epsg_32613","32613"
"mexico_nfi","2007-06-21","2007","SA","gliht_mexico_nfi_32616",NA,NA,"centralamerica","/gpfs/data1/vclgp/data/gedi/incoming/centralamerica/gliht_mexico_nfi/G-LiHT_las/als_epsg_32616","32616"
"mexico_nfi","2010-07-08","2010","SA","gliht_mexico_nfi_32616",NA,NA,"centralamerica","/gpfs/data1/vclgp/data/gedi/incoming/centralamerica/gliht_mexico_nfi/G-LiHT_las/als_epsg_32616","32616"
"mexico_nfi","2005-09-15","2005","SA","gliht_mexico_nfi_32616",NA,NA,"centralamerica","/gpfs/data1/vclgp/data/gedi/incoming/centralamerica/gliht_mexico_nfi/G-LiHT_las/als_epsg_32616","32616"
"mexico_nfi","2009-12-08","2009","SA","gliht_mexico_nfi_32616",NA,NA,"centralamerica","/gpfs/data1/vclgp/data/gedi/incoming/centralamerica/gliht_mexico_nfi/G-LiHT_las/als_epsg_32616","32616"
"mexico_nfi","2006-11-28","2006","SA","gliht_mexico_nfi_32616",NA,NA,"centralamerica","/gpfs/data1/vclgp/data/gedi/incoming/centralamerica/gliht_mexico_nfi/G-LiHT_las/als_epsg_32616","32616"
"mexico_nfi","2007-11-10","2007","SA","gliht_mexico_nfi_32614",NA,NA,"centralamerica","/gpfs/data1/vclgp/data/gedi/incoming/centralamerica/gliht_mexico_nfi/G-LiHT_las/als_epsg_32614","32614"
"mexico_nfi","2009-05-30","2009","SA","gliht_mexico_nfi_32614",NA,NA,"centralamerica","/gpfs/data1/vclgp/data/gedi/incoming/centralamerica/gliht_mexico_nfi/G-LiHT_las/als_epsg_32614","32614"
"mexico_nfi","2010-03-07","2010","SA","gliht_mexico_nfi_32614",NA,NA,"centralamerica","/gpfs/data1/vclgp/data/gedi/incoming/centralamerica/gliht_mexico_nfi/G-LiHT_las/als_epsg_32614","32614"
"mexico_nfi","2004-12-13","2004","SA","gliht_mexico_nfi_32614",NA,NA,"centralamerica","/gpfs/data1/vclgp/data/gedi/incoming/centralamerica/gliht_mexico_nfi/G-LiHT_las/als_epsg_32614","32614"
"mexico_nfi","2004-12-07","2004","SA","gliht_mexico_nfi_32616",NA,NA,"centralamerica","/gpfs/data1/vclgp/data/gedi/incoming/centralamerica/gliht_mexico_nfi/G-LiHT_las/als_epsg_32616","32616"
"mexico_nfi","2011-03-25","2011","SA","gliht_mexico_nfi_32616",NA,NA,"centralamerica","/gpfs/data1/vclgp/data/gedi/incoming/centralamerica/gliht_mexico_nfi/G-LiHT_las/als_epsg_32616","32616"
"mexico_nfi","2005-09-05","2005","SA","gliht_mexico_nfi_32614",NA,NA,"centralamerica","/gpfs/data1/vclgp/data/gedi/incoming/centralamerica/gliht_mexico_nfi/G-LiHT_las/als_epsg_32614","32614"
"mexico_nfi","2006-10-26","2006","SA","gliht_mexico_nfi_32614",NA,NA,"centralamerica","/gpfs/data1/vclgp/data/gedi/incoming/centralamerica/gliht_mexico_nfi/G-LiHT_las/als_epsg_32614","32614"
"mexico_nfi","2005-09-09","2005","SA","gliht_mexico_nfi_32615",NA,NA,"centralamerica","/gpfs/data1/vclgp/data/gedi/incoming/centralamerica/gliht_mexico_nfi/G-LiHT_las/als_epsg_32615","32615"
"mexico_nfi","2010-08-10","2010","SA","gliht_mexico_nfi_32615",NA,NA,"centralamerica","/gpfs/data1/vclgp/data/gedi/incoming/centralamerica/gliht_mexico_nfi/G-LiHT_las/als_epsg_32615","32615"
"mexico_nfi","2006-06-22","2006","SA","gliht_mexico_nfi_32615",NA,NA,"centralamerica","/gpfs/data1/vclgp/data/gedi/incoming/centralamerica/gliht_mexico_nfi/G-LiHT_las/als_epsg_32615","32615"
"mexico_nfi","2009-04-24","2009","SA","gliht_mexico_nfi_32615",NA,NA,"centralamerica","/gpfs/data1/vclgp/data/gedi/incoming/centralamerica/gliht_mexico_nfi/G-LiHT_las/als_epsg_32615","32615"
"mexico_nfi","2004-12-21","2004","SA","gliht_mexico_nfi_32615",NA,NA,"centralamerica","/gpfs/data1/vclgp/data/gedi/incoming/centralamerica/gliht_mexico_nfi/G-LiHT_las/als_epsg_32615","32615"
"mexico_nfi","2007-04-13","2007","SA","gliht_mexico_nfi_32615",NA,NA,"centralamerica","/gpfs/data1/vclgp/data/gedi/incoming/centralamerica/gliht_mexico_nfi/G-LiHT_las/als_epsg_32615","32615"
"mexico_nfi","2011-07-26","2011","SA","gliht_mexico_nfi_32615",NA,NA,"centralamerica","/gpfs/data1/vclgp/data/gedi/incoming/centralamerica/gliht_mexico_nfi/G-LiHT_las/als_epsg_32615","32615"
"mexico_nfi","2009-05-28","2009","SA","gliht_mexico_nfi_32613",NA,NA,"centralamerica","/gpfs/data1/vclgp/data/gedi/incoming/centralamerica/gliht_mexico_nfi/G-LiHT_las/als_epsg_32613","32613"
"mexico_nfi","2006-02-26","2006","SA","gliht_mexico_nfi_32613",NA,NA,"centralamerica","/gpfs/data1/vclgp/data/gedi/incoming/centralamerica/gliht_mexico_nfi/G-LiHT_las/als_epsg_32613","32613"
"mexico_nfi","2004-12-21","2004","SA","gliht_mexico_nfi_32613",NA,NA,"centralamerica","/gpfs/data1/vclgp/data/gedi/incoming/centralamerica/gliht_mexico_nfi/G-LiHT_las/als_epsg_32613","32613"
"netherlands_loobos","2010-06-15","2010","Eu","kljun_loobos",NA,NA,"europe","/gpfs/data1/vclgp/data/gedi/incoming/europe/kljun_loobos/ALS","32631"
"newzealand_forestservice","2015-09-24","AG167_PF150924","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-18","AH173_PF150918","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-16","AL166_PF150916","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-17","AL170_PF150917","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2016-09-20","AL170_PF160920","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-09","AM153_PF150909","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2016-09-13","AM153_PF160913","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-16","AM166_PF150916","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-15","AN168_PF150915","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2016-09-19","AN168_PF160919","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-06","AP126_PF150906","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-06","AU122_PF150906","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-04","AV121_PF150904","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-04","AW119_PF150904","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-05","BA114_PF150905","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-05","BA116_PF150905","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-04","BB118_PF150904","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2016-07-27","BB118_PF160727","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-09-02","BE131_PF150902","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-08-31","BJ126_PF150831","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2016-08-01","BK126A5_PF160801","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-08-13","BM104_PF150813","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-08-19","BM107_PF150819","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-07-30","BN101_PF150730","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-08-11","BN104_PF150811","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-08-16","BN105_PF150816","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2016-07-04","BN106_PF160704","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-08-02","BN96_PF150802","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-07-30","BN99_PF150730","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2015-07-29","BO102_PF150729","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
"newzealand_forestservice","2016-06-30","BO102_PF160630","Au","newzealand_forestservice",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/newzealand_forestservice/ALS","2193"
